pixel,wavelength,10%_Trans,10%_Int,20%_Trans,20%_Int,30%_Trans,30%_Int,FBH_Trans,FBH_Int,FBP_Trans,FBP_Int,RW_Trans,RW_Int,BW_Trans,BW_Int,YW_Trans,YW_Int,,10%_Trans,10%_Int,20%_Trans,20%_Int,30%_Trans,30%_Int,FBH_Trans,FBH_Int,FBP_Trans,FBP_Int,RW_Trans,RW_Int,BW_Trans,BW_Int,YW_Trans,YW_Int
,,xiaomi14,xiaomi14,xiaomi14,xiaomi14,xiaomi14,xiaomi14,xiaomi14,xiaomi14,xiaomi14,xiaomi14,xiaomi14,xiaomi14,xiaomi14,xiaomi14,xiaomi14,xiaomi14,,redmik70,redmik70,redmik70,redmik70,redmik70,redmik70,redmik70,redmik70,redmik70,redmik70,redmik70,redmik70,redmik70,redmik70,redmik70,redmik70
38,38,1.5563968,0.24991998,0.24007012,0.026304003,0.018707486,0.000704,0.1490468,0.011008,0.05925507,0.00672,0.072332725,0.00512,0.15283121,0.017792,0.2706767,0.018432,,0.5237628,1.4304003,0.53739315,1.4304003,1.0007463,1.4303361,0.7961689,2.170624,0.6500925,1.4314239,0.9813397,1.4035201,0.99747676,1.4253013,0.99377936,1.4211842
39,39,1.6735115,0.2608,0.23130034,0.025728,0.019867549,0.000768,0.12956521,0.009536,0.06483645,0.007104,0.07502131,0.005632,0.16594361,0.019584,0.29520297,0.020480001,,0.5235051,1.4304003,0.53411835,1.4304003,1.0006268,1.4304003,0.80548483,2.2043736,0.6404522,1.4312108,0.9803893,1.4024535,0.9967024,1.4250453,0.9927948,1.4197762
40,40,1.7780932,0.28051198,0.23601787,0.027007999,0.034374997,0.001408,0.14320987,0.011135999,0.07210965,0.007743999,0.07014809,0.00576,0.1679428,0.021056,0.3076923,0.022784,,0.5236114,1.4304003,0.5298469,1.4304003,1.0004028,1.4304003,0.8131952,2.2347734,0.63004416,1.4315946,0.9835386,1.4071896,0.99674827,1.4255999,0.992109,1.4188801
41,41,1.8696702,0.297472,0.22497253,0.026176002,0.040944878,0.001664,0.16961415,0.013504,0.07660082,0.008191999,0.066368364,0.005696,0.1482742,0.019520001,0.30290103,0.022720002,,0.5226726,1.4304003,0.52592367,1.4304003,1.000194,1.4304003,0.82128084,2.2645977,0.62013936,1.4327039,0.98768485,1.4132482,0.9970016,1.4258773,0.9921401,1.4191362
42,42,1.9816881,0.318592,0.2216097,0.025727998,0.04251968,0.001728,0.1811085,0.014847999,0.08063566,0.008767999,0.069037646,0.006335999,0.12552302,0.017280001,0.30471382,0.023168001,,0.52198493,1.4304003,0.5229621,1.4304003,1.0000746,1.4304003,0.8274477,2.2859092,0.61305976,1.4340693,0.99300706,1.4207788,0.997762,1.4267945,0.9931996,1.4208
43,43,2.0727422,0.33190402,0.23532766,0.026432002,0.047913447,0.001984,0.18978661,0.015936,0.08086096,0.008895999,0.07610852,0.007359999,0.11319034,0.015872002,0.31669396,0.024768,,0.52236724,1.4304003,0.52166003,1.4304003,1.0001045,1.4304003,0.8323241,2.302293,0.6090913,1.4364159,0.9962719,1.4252374,0.9984781,1.427712,0.9923352,1.419648
44,44,2.1078513,0.32646403,0.26645964,0.027456002,0.057692308,0.002304,0.19319084,0.015616003,0.077495344,0.007999999,0.07109004,0.00672,0.102119476,0.013568,0.29378074,0.022976004,,0.5241599,1.4304003,0.5244222,1.4304003,1.0001642,1.4304003,0.8339604,2.3025491,0.6096674,1.438464,0.9969723,1.4260055,0.99879146,1.4280322,0.9910082,1.4177921
45,45,2.1394618,0.305344,0.28336903,0.025408,0.04506066,0.001664,0.17901231,0.012991999,0.06639004,0.006144,0.06878697,0.005952,0.090119444,0.010624001,0.26584506,0.019328,,0.5256433,1.4304003,0.52866465,1.4304003,1.0001941,1.4304003,0.83348316,2.2944214,0.6117285,1.4395946,0.9964647,1.4250668,0.9987317,1.4278615,0.99021846,1.4167042
46,46,2.1839645,0.28416002,0.32976976,0.025664,0.036363635,0.00128,0.16059114,0.010432001,0.052631572,0.004416,0.06872037,0.005568,0.075169444,0.007808,0.23827049,0.016576001,,0.52672935,1.4304003,0.53271806,1.4304003,1.0002239,1.4304003,0.83274895,2.2848854,0.6159116,1.4404906,0.9961212,1.4244694,0.9987018,1.4278188,0.991574,1.4184321
47,47,2.2447944,0.28288,0.37639964,0.027968,0.042158514,0.0016,0.1656504,0.010432,0.05593869,0.004672,0.08541498,0.006784,0.08429119,0.008448,0.22075638,0.016064,,0.52745444,1.4304003,0.5342886,1.4304003,1.0001792,1.4304003,0.83454585,2.2857387,0.6188527,1.4407681,0.99643457,1.4249387,0.99814975,1.4271147,0.9923786,1.4194561
